Question;réponse1;réponse2;réponse3;réponse4;solution;num regle
How old are you? I ________ ;have 30;have 30 years;am 30 years;am 30 years old;am 30 years old
Please _________ you speak slower?;could;will;do;are;could
London is the capital of the United ________ .;country;land;headquarters;Kingdom;Kingdom
I’ll wait for you _________.;house;at home;home;to home;at home
I love _________ abroad. ;to travelling;travel;to travel;is travelling;to travel
I am so ____________. I need to eat something.;thirsty;sleepy;hungry;exhausted;hungry
Where _______ you from?  Australia.;do;is;come;are;are
I live ______ Los Angeles.;to;in;at;of;in
How ____ you spell your name please? – R-I-C-H-A-R-D-S.;are;does;write;do;do
They _______ go to the cinema.;tomorrow;rarely;much;rare;rarely
My sister ______ born on the 1st of April 1995.;is;was;had;has been;was
Is this a small city?  No it’s ______ big.;only;but;also;quite;quite
English is a lot _________ than French.;easy;easier;more easy;more easier;easier
_________ long have you worked here?;how;what;where;why;how
It costs $100! It’s _______ expensive!;to;lot;much;too;too
He usually ________ at 7am.;got up;get up;gets up;don’t get up;gets up
How _______ does this cost?;many;far;long;much;much
Do your parents live here? -Yes that’s ______ house over there.;their;there;other;our;her;their
This lesson is too ________. Could you help me? ;easy;tiring;hard;boring;hard
Yesterday I _______ to the restaurant with my boyfriend.;go;to go;went;have gone;went
Look at these mountains. What a lovely _______!;landscape;overview;picture;sight;landscape
I didn’t sleep well last night. I’m very _________ today.;well;hectic;tired;happy;tired
_________ you talk to him last week?;do;does;did;have;did
It’s cold outside. You should ________ your coat?;take in;put off;put on;take off;put on
Hurry up! The appointment is ______ 10.;to;at;from;/;at
I’m looking __________ the summer holidays.;forward;before;for;forward to;forward to
This is the best tea I’ve ______ tasted.;never;ever;already;still;ever
He hasn’t played since he ______ the accident;had;has had;has;had had;had
It’s all right, we _______ hurry. We have plenty of time.;mustn’t;shouldn’t;can’t;needn’t;needn’t
Our manager wants _______ to his office right now.;that you come;you come to;you come;you to come;you to come
This table ___________ of wood.;are making;are made;made;is made;is made
It won’t work __________ you charge the battery.;unless;whereas;because;but;unless
He only has __________ friends.;much;quite;such;few;few
The TV is too loud. Please, _____________.;turn down;turn it up;turn it down;turn down it;turn it down;
I’m looking forward _____________ him.;meet;meeting;to meet;to meeting;to meeting
Yesterday, I was so upset that I __________ sleep…;can;can’t;couldn’t;could;couldn’t
If I had known, I ___________ you!;tell;would tell;would have told;told;would have told
You _____________ eat healthy if you don’t want to put on weight.;have;must to;must;might;must
I ___________ him for ages!;see;saw;didn’t see;haven’t seen;haven’t seen
This man speaks a lot of ___________ languages : Chinese, Spanish, French, etc.;abroad;foreigner;foreign;stranger;foreign
How _______________ is it from here? – Only 1 mile.;long;far;much;many;far
I ________ drink beer than wine.;would like more;prefer;like;would rather;would rather
You can stay ___________ you remain quiet.;as long;as long as;as soon as;as such;as long as
they ____________ right now.;are travelling;travel;have travelled;travelled;are travelling
Listening to podcasts while driving allows me to ____________________;kill two birds with one stone;be a couch potato;beat around the bush;put all my eggs in the same basket;kill two birds with one stone
I have been studying English _______ 5 years.;for;since;within;along;for
My colleague has been on holiday for two weeks and now she needs to _______________;catch in;catch;catch up;catch for;catch up
Stop ___________ that! It s not true.;to say;to saying;say;saying;saying
If we hadn’t missed our flight __________ by the pool right now.;we’d sit;we’d have sat;we’d been sitting;we’d be sitting;we’d be sitting
Take extreme care ____________ this bottle.;to open;when to open;for opening;when opening;when opening
______________ I known this was going to be so boring, I would never have come.;should;had;would;if;had
Let’s call him. He ______________ for us.;maybe is waiting;might be waiting;waits maybe;can be waiting;might be waiting
The penguin _____________ the only species able to survive in such conditions;is thought to be;in thinking to be;is thinking to be;is thought that is;is thought to be;in thinking to be
I don’t mind _______________ with you.;to go;to going;going;go;going
Tomorrow, I ____________ to do any sport.;can’t;couldn’t;won’t;won’t be able;won’t be able
I love swimming. – _________________;neither do I;me too;me as well;same to me;me too
I _____________ to go skiing with my parents but now I go on my own.;use;used;am used;am using;used
